"id","naam","added_when","added_by","timestamp"
4813,"sloep van de burger Thomas Jacob Carper           ","2013-01-10 10:06:45+01","NicolienK                                         ","2013-01-10 09:06:45"
4830,"sloep van de burger Thomas Carper                 ","2013-01-21 16:49:29+01","NicolienK                                         ","2013-01-21 15:49:29"
4831,"sloep van de burger Fredrick Beerninck            ","2013-01-21 17:05:24+01","NicolienK                                         ","2013-01-21 16:05:24"
4832,"sloep van de geschoren Chinees Wallanda           ","2013-01-21 17:07:56+01","NicolienK                                         ","2013-03-19 15:51:49"
4836,"sloep van de Chinees Limpeenko                    ","2013-01-23 15:30:56+01","DorineS                                           ","2013-03-19 15:51:40"
4837,"sloep van de burger kapitein Jan Paul Roerbergh   ","2013-01-23 15:32:44+01","DorineS                                           ","2013-01-23 14:32:37"
4838,"sloep van de Chinees Tsjakenko                    ","2013-01-23 15:34:53+01","DorineS                                           ","2013-01-23 14:34:46"
4848,"sloep van de burger Sabar Lamba                   ","2013-02-13 16:19:26+01","NicolienK                                         ","2013-02-13 15:19:26"
4849,"sloep van de burger Abraham de Roij               ","2013-02-13 16:23:53+01","NicolienK                                         ","2013-02-13 15:23:53"
4851,"sloep van burger Jacobus Constantijn Cruijpenning ","2013-02-13 16:34:24+01","NicolienK                                         ","2013-02-13 15:34:24"
4852,"sloep van de Chinees Tanoikoe                     ","2013-02-14 11:38:44+01","SanderT                                           ","2013-02-14 10:38:44"
4853,"sloep van Jacobus Constantijn Cruijpennig         ","2013-02-14 11:42:01+01","SanderT                                           ","2013-02-14 10:42:01"
4854,"sloep van de Makassarse burger Adriaan Schouteden ","2013-02-14 11:46:03+01","SanderT                                           ","2013-02-14 10:46:03"
4855,"sloep van de weduwe Kardenberg                    ","2013-02-14 12:22:43+01","SanderT                                           ","2013-02-14 11:22:43"
4883,"sloep van de Chinees Tanqimko                     ","2013-03-26 15:20:38+01","dorines                                           ","2013-03-26 14:20:38"
4884,"Chinese sloep, diverse                            ","2013-03-27 12:39:34+01","DorineS                                           ","2013-03-27 11:40:12"
4885,"handelssloep, diverse                             ","2013-03-27 12:40:30+01","DorineS                                           ","2013-03-27 11:40:30"
4896,"sloep van de Chinees Ong Gieko                    ","2013-04-22 10:34:35+02","NicolienK                                         ","2013-04-22 08:34:35"
4898,"sloep van de Chinees Belorinkon                   ","2013-04-29 14:28:35+02","DorineS                                           ","2013-04-29 12:28:35"
4916,"sloep van de burger Carel Johannis Harder         ","2013-06-07 12:50:27+02","SanderT                                           ","2013-06-07 10:50:27"
